node,degree,closeness,pagerank,betweenness,critical
29705609,0.00023144576454250886,0.018728859233015503,7.566282523373438e-05,0.0075209042227288,0
29705610,0.00023144576454250886,0.017765826072535337,7.802195807935568e-05,2.8356763672421884e-05,0
29705620,0.00023144576454250886,0.018341613614848755,7.775539335331797e-05,0.0112059426300954,0
29705621,0.00030859435272334514,0.018980511369709963,9.688514735743792e-05,0.0079998271959424,0
29705622,0.00030859435272334514,0.019248675001522133,9.853857180358046e-05,0.0104171813584202,0
29705623,0.00023144576454250886,0.019526024656840887,7.749405233531838e-05,0.0116490246842255,0
29705625,0.00023144576454250886,0.020104134515613197,7.666428627064472e-05,0.0136313173928936,0
29705628,0.00023144576454250886,0.018006604181166275,8.050323045446994e-05,0.0001776297831424,0
29705629,0.00023144576454250886,0.017993156437182894,7.901171747442879e-05,0.0006658260255516,0
29705630,0.00030859435272334514,0.018113901532037513,0.00010289786080564084,0.0002606375843562,0
29705631,0.00023144576454250886,0.018425332059679767,8.525952915779127e-05,0.0013699322586506,0
29705633,0.00023144576454250886,0.017773987066483105,7.807862016379812e-05,0.0001807218645054,0
29705643,0.00030859435272334514,0.01770158046899219,9.99413962294657e-05,0.0003508526235439,0
29705644,0.00023144576454250886,0.018497297898968392,7.673312899477275e-05,0.0073798029330072,0
29706007,0.00023144576454250886,0.017290689546616295,8.068924242104293e-05,1.8015585217190032e-05,0
29706008,0.00023144576454250886,0.017217264019743668,7.962626400015537e-05,0.0103296411378152,0
60780702,0.00030859435272334514,0.016431243447848357,9.595110262603116e-05,0.0025336439702735,0
60780709,0.00030859435272334514,0.016333041836881272,9.455634952446298e-05,0.0007407531540358,0
60780711,0.00030859435272334514,0.016509914610038926,9.989891229734906e-05,0.0009879454526344,0
60780713,0.00030859435272334514,0.016753047007276627,0.00010118462696822542,0.0011428679367199,0
60780714,0.00023144576454250886,0.01691317027342654,7.642511590780301e-05,0.0010919447384525,0
60780719,0.00030859435272334514,0.01883995197716299,9.62258612748091e-05,0.0106582993586394,0
60780721,0.00023144576454250886,0.01976975450241593,7.716304623519564e-05,0.0067498851460375,0
207144907,0.00023144576454250886,0.020306938386724822,8.187230924192103e-05,0.0007290595523536,0
207144909,0.00023144576454250886,0.019858164720734026,8.582795343001947e-05,0.0028596386375579,0
259652737,0.00023144576454250886,0.02602455889557249,7.737062900955734e-05,0.0648112565832084,1
262609076,0.00023144576454250886,0.01787943451219159,7.953717779270116e-05,0.0005009812231317,0
262609077,0.00030859435272334514,0.01901222109444213,9.508509330564373e-05,0.0018227040057107,0
262609078,0.00030859435272334514,0.021227813315777232,8.918329017412045e-05,0.004814751579992,0
262609079,0.00023144576454250886,0.021484417084769135,7.152710493200796e-05,0.0048133278867054,0
262610721,0.00023144576454250886,0.01957707358847064,7.840007121739205e-05,0.0159103166455259,0
262610723,0.00023144576454250886,0.01956525348640983,7.828559535496724e-05,0.0042966420462051,0
262610724,0.00023144576454250886,0.019229827744537926,8.208197863254859e-05,0.0042989861165915,0
262611078,0.00030859435272334514,0.016956535958400104,0.00010363724504906338,0.0002613151303969,0
262611081,0.00030859435272334514,0.017171919235543568,9.495276637745322e-05,0.0008411137405299,0
262611083,0.00023144576454250886,0.017617181713033753,7.321984786261762e-05,0.000203707525763,0
262611085,0.00030859435272334514,0.01870251146362086,9.003624640525051e-05,0.0007958814498093,0
262611086,0.00023144576454250886,0.01901428491795487,7.023756265695092e-05,0.0005177561545066,0
262611088,0.00023144576454250886,0.019343381584838084,7.166955103780089e-05,0.0004165198983307,0
262611093,0.00030859435272334514,0.020438702027313623,9.464123820782196e-05,0.0050860457238281,0
262611094,0.00023144576454250886,0.020813963757818084,7.475734272677841e-05,0.0045921597159886,0
262611095,0.00023144576454250886,0.02121349991653383,7.441136729915358e-05,0.0163469900431906,0
262628320,0.00015429717636167257,0.01699923279191612,6.156737310623936e-05,0.0006820833086837,0
262628869,7.714858818083629e-05,0.01971820701531272,3.835769577380177e-05,0.0,0
262628897,0.00023144576454250886,0.020524984838240255,9.403105931580542e-05,0.0,0
262934122,0.00023144576454250886,0.020494738756117035,8.266000268912064e-05,0.0001369481562347,0
263029480,0.00023144576454250886,0.020507644089061586,7.665658207934594e-05,0.0011542745258399,0
263029640,0.00030859435272334514,0.01869911192923132,9.320379339637488e-05,0.0016434071193451,0
263029642,0.00023144576454250886,0.01781546792748464,7.243151668138379e-05,0.0004693869525637,0
263029871,0.00030859435272334514,0.01723929260646879,0.00010532236294937026,0.0003936197861997,0
263029872,0.00030859435272334514,0.0178096665736933,9.923783445195638e-05,0.0012913066648124,0
263029873,0.00030859435272334514,0.01811293967057982,8.894957547442826e-05,0.0012295656966839,0
263029874,0.00030859435272334514,0.018109143846286032,9.209297330638911e-05,0.0015766489389041,0
263029875,0.00030859435272334514,0.02005759479078174,8.901410182418816e-05,0.0019801512188173,0
263030130,0.00023144576454250886,0.017992881692846713,7.8585434506455e-05,0.0026402814440797,0
263030132,0.00023144576454250886,0.01809377438478794,8.139831648373e-05,0.0026405615885423,0
263030133,0.00023144576454250886,0.019034919870359303,7.278139158650828e-05,0.0053000819702612,0
263030187,0.00023144576454250886,0.017315103627462112,7.55937052385496e-05,0.001932185097643,0
263030285,0.00023144576454250886,0.01839779374088946,7.163574840018028e-05,0.0017990119126057,0
263030466,0.00023144576454250886,0.018186103807548874,7.712289162050208e-05,6.204786520734367e-05,0
263030522,0.00023144576454250886,0.018433454971571922,7.612087242498755e-05,0.0024816684863257,0
263030579,0.00030859435272334514,0.018809059459961457,9.977236609431745e-05,0.0030853922803365,0
263030757,0.00023144576454250886,0.018593909139160248,8.056542238239678e-05,0.0004241956157363,0
263030760,0.00030859435272334514,0.01970067497837972,9.249624293573112e-05,0.007169064056324,0
263030969,0.00023144576454250886,0.019569477533297703,7.8239345545467e-05,0.0031934826339868,0
263030971,0.00023144576454250886,0.020395543254380984,7.680932953227953e-05,0.0014384766729454,0
263031141,0.00030859435272334514,0.018714824878791118,9.06086795982807e-05,0.0048092798185224,0
263031579,0.00023144576454250886,0.01752462329901507,8.069729746215556e-05,0.000592993212002,0
263031710,0.00023144576454250886,0.017240003404907323,7.260258033803225e-05,0.0001078731233352,0
263031983,0.00023144576454250886,0.01668956406529042,7.643781400432248e-05,2.524338837756701e-05,0
263031984,0.00030859435272334514,0.016872177828224515,0.00010064804520056674,0.0019952246219883,0
263031985,0.00023144576454250886,0.01650518445135733,8.050563922272696e-05,0.0013255507424443,0
263031987,0.00023144576454250886,0.01619355306193328,8.072418979064932e-05,0.0114051147927535,0
263032161,0.00023144576454250886,0.01661726698391861,7.847397523940657e-05,0.0004098059503915,0
263032162,0.00023144576454250886,0.016885409271212605,7.450600499505138e-05,0.0005247403657799,0
263032163,0.00023144576454250886,0.01738598578485748,7.366449187127727e-05,0.0006509248809722,0
263032166,0.00023144576454250886,0.017559807251243967,7.423678677158424e-05,0.0007192934082651,0
263032167,0.00030859435272334514,0.01779753756334932,9.782855578701819e-05,0.0015486378830756,0
263032168,0.00023144576454250886,0.01808622561317635,7.412757263472766e-05,0.0008619759703106,0
263032169,0.00030859435272334514,0.018689567466714345,9.31633508088427e-05,0.0017784255657983,0
263032170,0.00023144576454250886,0.019200146941411558,7.45300505633669e-05,0.0092889595355953,0
263032282,0.00030859435272334514,0.021226144741280775,8.87033459074934e-05,0.0030461695376778,0
263032321,0.00030859435272334514,0.018074700021613783,0.00010440822471210277,0.0013003017232217,0
263032325,0.00023144576454250886,0.01979049134223259,7.650895446051295e-05,0.0135494710811412,0
263229315,0.00023144576454250886,0.015233658369756452,8.805174738819831e-05,0.0008190205066217,0
263229319,0.00023144576454250886,0.015755420255961765,8.327893802977365e-05,0.0007998792957505,0
263229322,0.00023144576454250886,0.015902206704150497,8.806694474645902e-05,0.0008301623061009,0
263229372,0.00023144576454250886,0.016162276135268352,7.247121708652282e-05,0.0001666844245411,0
263229447,0.00023144576454250886,0.015476941005654898,8.13500430840778e-05,0.0002482960864506,0
263229501,0.00023144576454250886,0.015958278495474876,8.21571887837274e-05,0.0014393628495703,0
263229539,0.00023144576454250886,0.01570862095710851,8.492047444807812e-05,0.0003287093589137,0
263229613,0.00023144576454250886,0.01538633201809989,9.669005894326566e-05,0.0002022638186392,0
263229614,0.00023144576454250886,0.015626224377729796,8.900148975114668e-05,0.0002869427638999,0
263229616,0.00023144576454250886,0.01587229670737397,8.149663381483901e-05,0.0015895805385704,0
263229763,0.00023144576454250886,0.015654683905096046,7.958505708715342e-05,0.0002980342914497,0
263902957,0.00023144576454250886,0.0176585104020642,8.526702898556123e-05,0.0003970638347528,0
263902959,0.00023144576454250886,0.017990384401856498,8.900706887632577e-05,0.0002353015940922,0
264132542,0.00023144576454250886,0.020119268988510814,8.007920857269871e-05,0.0005423406900703,0
264132556,0.00023144576454250886,0.020239747791693928,7.75873200846922e-05,0.0001839927597199,0
264132589,0.00030859435272334514,0.0197628518761902,9.785138542673887e-05,0.0006399796540776,0
264132590,0.00023144576454250886,0.01951864450678605,7.697295612337212e-05,1.3279766038040864e-05,0
264132591,0.00023144576454250886,0.019867448162544602,7.856858089156849e-05,6.577914451535312e-05,0
264132592,0.00023144576454250886,0.020250245668194052,7.683727325030642e-05,0.0015720523557692,0
264132593,0.00023144576454250886,0.01953364588372342,7.581131460772074e-05,0.0061003409055377,0
264132639,0.00023144576454250886,0.020644894123643197,7.798047720723757e-05,0.0006684007608596,0
264132651,0.00023144576454250886,0.021052187075691724,7.4920780371474e-05,0.0050350718695176,0
264132694,0.00023144576454250886,0.0188784769051066,7.345788003831206e-05,7.097856764532218e-05,0
264132727,0.00023144576454250886,0.018529637126748322,7.487978994626712e-05,4.083579409557343e-05,0
264132728,0.00023144576454250886,0.018391894058603767,7.584648593425604e-05,7.861670001936957e-05,0
264132729,0.00023144576454250886,0.018695443977130462,7.617941595245076e-05,0.0001213240762272,0
264132731,0.00023144576454250886,0.019024108162372714,7.616776591119622e-05,0.0001806138336112,0
264132734,0.00023144576454250886,0.01938164739517059,7.575413870510551e-05,0.0004778404006472,0
264132791,0.00023144576454250886,0.020177836447754317,7.689389534758811e-05,0.001383140758185,0
264221922,0.00023144576454250886,0.021106727219731745,7.625624557449472e-05,0.0062679269465081,0
264221945,0.00023144576454250886,0.02328196285519273,7.643480567010095e-05,0.0308649862194418,1
264222036,0.00023144576454250886,0.021137877275721938,7.612868897705095e-05,0.000702451223878,0
264222046,0.00023144576454250886,0.02206793696626306,8.174757695324656e-05,0.0011551550383559,0
264222113,0.00023144576454250886,0.02331131449412721,8.438000139963006e-05,0.0057745074844567,0
264222131,0.00023144576454250886,0.023791605942578568,8.526717994621123e-05,0.0057882484286205,0
264222161,0.00023144576454250886,0.024319040596775223,8.116691241361607e-05,0.006298708775432,0
264850346,0.00030859435272334514,0.018917932775807465,0.00010209136029546602,0.0074308908074331,0
264850348,0.00023144576454250886,0.018568045828492682,8.694065785916259e-05,0.0001256740028053,0
264850349,0.00023144576454250886,0.01834789661649612,8.05176695549561e-05,8.695194251864262e-05,0
264850352,0.00023144576454250886,0.021180846057310188,8.362894383885299e-05,0.0014616694477125,0
264850386,0.00030859435272334514,0.020670540731904906,0.00010071910633034111,0.0206903961690235,0
264850410,0.00030859435272334514,0.020275110823299015,9.775382737042999e-05,0.0046353107708242,0
264850411,0.00023144576454250886,0.020573852065718237,7.84748104656628e-05,0.0004823363854156,0
264850484,0.00023144576454250886,0.02106067006791668,7.635110602741517e-05,0.0192972868742771,0
264850526,0.00023144576454250886,0.02098507796145882,7.847529454671168e-05,0.0010232024303455,0
264850528,0.00023144576454250886,0.02018478059445596,8.344176065575409e-05,0.0001888378204998,0
264850530,0.00023144576454250886,0.019866960946600454,9.013383159229302e-05,0.0006420390172293,0
264850560,0.00023144576454250886,0.020191383535034278,7.776024301045617e-05,0.0002285699891136,0
264850583,0.00023144576454250886,0.019290699924099236,8.81421108591141e-05,0.000352360155838,0
264850593,0.00023144576454250886,0.019815511806449443,7.954562620974279e-05,7.008561596590395e-05,0
264850691,0.00023144576454250886,0.019524848163501397,8.012114539621037e-05,5.739747613161975e-05,0
264850722,0.00023144576454250886,0.01988942815975989,7.712686692230752e-05,6.732507189023791e-05,0
264851170,0.00015429717636167257,0.01666608807234229,6.521516899188004e-05,0.0099822544556747,0
266326430,0.00030859435272334514,0.018616234413463665,0.0001003315384429575,0.0077961267599288,0
266326678,0.00030859435272334514,0.018396383738175832,9.72510071460884e-05,0.0074142530209403,0
266326680,0.00023144576454250886,0.018604183860203093,7.530078962166122e-05,0.0075125432372231,0
266326682,0.00023144576454250886,0.017966096996410108,8.023038161295393e-05,8.808384664650047e-05,0
266326725,0.00023144576454250886,0.018607709236239812,7.59341712737345e-05,0.0009392030696017,0
266326782,0.00023144576454250886,0.018288252316366167,7.683331443883554e-05,0.0002617296497772,0
266326783,0.00023144576454250886,0.018920694235625556,7.637420944880662e-05,0.0135260433576593,0
266327662,0.00023144576454250886,0.022780716708553753,9.10337635729255e-05,7.238498712921983e-05,0
266327663,0.00015429717636167257,0.02274118871046126,6.700567693753488e-05,1.4519081720686536e-05,0
266327665,0.00015429717636167257,0.02320892689599851,6.888232018514593e-05,5.502521550665984e-05,0
266327669,0.00015429717636167257,0.024281274645156576,6.373013035064921e-05,0.0001880115872091,0
266327670,0.00030859435272334514,0.02488514474737604,0.00010960796590831259,0.006681058680351,0
266327671,0.00015429717636167257,0.02323896946770174,6.299788863005204e-05,4.822158784044441e-05,0
266327696,0.00015429717636167257,0.022741787200595127,6.435571983540107e-05,0.0,0
266329062,0.00023144576454250886,0.025063906968469985,7.965750496923719e-05,0.0030437681590042,0
266329064,0.00023144576454250886,0.02610658948687118,7.689929043570616e-05,0.0093325573558407,0
266329097,0.00023144576454250886,0.025675563249993066,7.85972811065491e-05,0.003227783335001,0
266329608,0.00023144576454250886,0.020819513354717156,8.576467576140701e-05,0.0003329140168341,0
266329609,0.00023144576454250886,0.020401963700811074,8.735603775513047e-05,0.0001889196282375,0
